pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,umur,jumlah_promosi,winsorized_pendapatan,log_pendapatan,ranked_pendapatan,cbrt_pendapatan,rasio_pembelian_diskon,proporsi_kue,pendapatan_kelompok_umur,log_shopping_frequency,proporsi_buah,rasio_belanja_ikan,rasio_belanja_kue,total_pembelian_toko_web_pendapatan,pendapatan_adjusted_umur_pendidikan,rasio_pembelian_toko,income_stability_score,log_pendapatan_vs_mean,log_age
2.0,1.0,114341564.0,0.0,1.0,47.0,50575.0,260967.0,50575.0,20230.0,2.0,2.0,5.0,36.0,2,114341564.0,18.554700710954986,1877.0,485.3645383486945,0.2,0.05290991452812621,3176154.5555555555,12.854086467649223,0.13227478632031553,0.000442315097246702,0.0001769260388986808,6.122008212848932e-08,1058718.1851851852,0.5,1028.4493138606108,-0.0008328388438698653,3.58351893845611
2.0,1.0,84063000.0,1.0,1.0,70.0,6069.0,44506.0,80920.0,20230.0,9.0,6.0,4.0,65.0,0,84063000.0,18.247077087593972,1048.0,438.0613746066908,0.45,0.13333245455623954,1293276.923076923,11.929831541553979,0.03999973636687186,0.0009626113748022316,0.0002406528437005579,1.1895839883232339e-07,431092.3076923077,0.2,2565.8897819833464,-0.30845646220488376,4.174387269895637
2.0,2.0,127532564.0,0.0,0.0,45.0,117611.0,265460.0,96341.0,145573.0,1.0,1.0,7.0,49.0,1,127532564.0,18.66388230171543,2227.0,503.3542003638804,0.1,0.23292201745319094,2602705.387755102,13.345484528467654,0.18818181527266212,0.000755422748342141,0.0011414574868893878,6.272907629514077e-08,867568.462585034,0.7,1688.0586267767803,0.1083487519165729,3.8918202981106265
3.0,1.0,165579620.0,0.0,0.0,90.0,206346.0,1613901.0,27725.0,125868.0,0.0,7.0,8.0,54.0,4,165579620.0,18.924962730748533,3343.0,549.1221478194494,0.0,0.06376805426576913,3066289.2592592593,14.495491948619009,0.10454033531576251,0.00016744210428795524,0.0007601660156002291,9.059085840038249e-08,766572.3148148148,0.5,220.6186138770653,0.3694291809496768,3.9889840465642745
2.0,1.0,117703159.0,1.0,1.0,78.0,90563.0,311757.0,40358.0,33875.0,7.0,6.0,5.0,45.0,4,117703159.0,18.583676419788542,1972.0,490.07517796964635,0.3684210526315789,0.07108323505835645,2615625.7555555557,13.07433632199333,0.1900372255819907,0.0003428794973973468,0.00028780026201335855,9.345543484134156e-08,871875.2518518518,0.2631578947368421,899.2622367336688,0.028142869989686403,3.8066624897703196
3.0,0.0,94346105.0,0.0,0.0,9.0,33509.0,49228.0,0.0,11925.0,1.0,4.0,2.0,63.0,5,94346105.0,18.36248055706703,1267.0,455.24095437018684,0.125,0.1259731891023948,1497557.2222222222,11.45807849533075,0.3539820204303688,0.0,0.00012639631493001222,6.359562947939791e-08,374389.30555555556,0.25,4293.840398948601,-0.1930529927318254,4.143134726391533
3.0,0.0,75313000.0,2.0,1.0,96.0,0.0,14161.0,8092.0,2023.0,1.0,4.0,5.0,52.0,0,75313000.0,18.137163333909278,743.0,422.3021727125781,0.09090909090909091,0.08332990072908514,1448326.923076923,10.097284679055107,0.0,0.00010744492982619203,2.6861232456548008e-05,1.195012797325657e-07,362081.73076923075,0.45454545454545453,11770.8054802298,-0.4183702158895777,3.9512437185814275
2.0,1.0,137916316.0,0.0,0.0,21.0,38505.0,1146659.0,192956.0,240718.0,4.0,6.0,6.0,56.0,5,137916316.0,18.742157660636792,2518.0,516.6604476994536,0.23529411764705882,0.1486979248708488,2462791.3571428573,14.297219783613583,0.023785564839987176,0.0013990802944591413,0.001745391749008145,8.700928404287362e-08,820930.4523809524,0.35294117647058826,274.67583230929307,0.18662411083793629,4.02535169073515
2.0,0.0,138069883.0,0.0,0.0,26.0,56486.0,797492.0,193754.0,202737.0,3.0,9.0,5.0,58.0,5,138069883.0,18.743270520738438,2522.0,516.8521401859123,0.16666666666666666,0.16212863963149857,2380515.224137931,14.039030038608198,0.045171815397410574,0.001403303861711826,0.0014683651176846438,1.0139792686434066e-07,793505.0747126436,0.2777777777777778,418.25862789801243,0.1877369709395822,4.060443010546419
2.0,2.0,37567504.0,1.0,0.0,67.0,19061.0,28067.0,22223.0,14146.0,3.0,2.0,1.0,40.0,2,37567504.0,17.441650005975774,141.0,334.9171964353019,0.42857142857142855,0.1694172315504563,939187.6,11.332577958456282,0.2282809169081894,0.0005915484829654906,0.0003765488385919916,7.985624810590962e-08,313062.5333333333,0.14285714285714285,6438.135872336876,-1.113883543823082,3.6888794541139363
