pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,umur,winsorized_pendapatan,log_pendapatan,ranked_pendapatan,cbrt_pendapatan,rasio_pembelian_diskon,proporsi_kue,pendapatan_kelompok_umur,log_shopping_frequency,proporsi_buah,rasio_belanja_ikan,rasio_belanja_kue,total_pembelian_toko_web_pendapatan,pendapatan_adjusted_umur_pendidikan,rasio_pembelian_toko,income_stability_score,log_pendapatan_vs_mean,log_age
2.0,2.0,120660151.0,0.0,1.0,63.0,122277.0,541399.0,214192.0,84305.0,4.0,6.0,10.0,58.0,120660151.0,18.608488490714205,2011.0,494.1452459638275,0.19047619047619047,0.0876192871559614,2080347.4310344828,13.776950586473134,0.1270840825048276,0.001775167677355219,0.000698697948753603,1.3260384422522524e-07,693449.143678161,0.47619047619047616,580.5104887085687,0.03618090377052141,4.060443010546419
3.0,2.0,163551821.0,0.0,1.0,58.0,35761.0,353335.0,63365.0,41112.0,2.0,5.0,10.0,47.0,163551821.0,18.912640452210674,3199.0,546.8712948908161,0.1111111111111111,0.08329450092589966,3479825.9787234045,13.109428075955833,0.07245316811663499,0.00038743072142253924,0.00025136987010373915,9.171405011923376e-08,869956.4946808511,0.5555555555555556,1063.6770676235226,0.3403328652669906,3.8501476017100584
1.0,2.0,29857000.0,0.0,0.0,34.0,8092.0,22253.0,30345.0,26299.0,2.0,0.0,5.0,47.0,29857000.0,17.211929909666313,54.0,310.2287593491079,0.25,0.3023221059891942,635255.3191489362,11.373548448501586,0.09302218645821358,0.0010163445758113675,0.0008808319657031852,1.6746491049117759e-07,317627.6595744681,0.625,3082.689043946491,-1.36037767727737,3.8501476017100584
3.0,2.0,117949098.0,0.0,1.0,82.0,4872.0,126061.0,0.0,9745.0,3.0,5.0,7.0,44.0,117949098.0,18.58576372495877,1925.0,490.4162754387914,0.1875,0.06927117764556188,2680661.3181818184,11.85423597823169,0.03463203463203463,0.0,8.262038595666073e-05,1.0173880175210156e-07,670165.3295454546,0.4375,1942.3228277768992,0.013456138015087049,3.784189633918261
2.0,1.0,164761134.0,0.0,0.0,28.0,343208.0,1416462.0,236196.0,107776.0,0.0,1.0,8.0,41.0,164761134.0,18.92000731631639,3225.0,548.2158539248976,0.0,0.05123302765725934,4018564.2439024393,14.559181161636916,0.1631493556653862,0.001433566243844862,0.0006541348519730388,5.4624532660569494e-08,1339521.4146341463,0.8,273.9385521963581,0.34769972937270666,3.713572066704308
2.0,2.0,152580160.0,0.0,1.0,32.0,82305.0,395197.0,242369.0,23336.0,0.0,9.0,10.0,43.0,152580160.0,18.843200661809966,2962.0,534.3584588886029,0.0,0.031399016156984316,3548375.8139534886,13.51873123068648,0.11074288759001517,0.0015884699557268782,0.0001529425581936734,1.2452470803199636e-07,1182791.9379844961,0.5,911.0065530305674,0.270893074866283,3.7612001156935624
1.0,0.0,179776000.0,0.0,0.0,46.0,50575.0,1962310.0,398531.0,384370.0,0.0,10.0,7.0,52.0,179776000.0,19.00722219500853,3654.0,564.3873066945666,0.0,0.13748186110029126,3457230.769230769,14.843624199176464,0.0180897185658278,0.002216819820220719,0.0021380495728017088,9.45621212255133e-08,1728615.3846153845,0.3888888888888889,209.66237662661788,0.4349146080648474,3.9512437185814275
3.0,2.0,163541000.0,0.0,1.0,37.0,91035.0,805154.0,8092.0,180047.0,3.0,7.0,5.0,59.0,163541000.0,18.912574287506082,3198.0,546.8592338311869,0.1875,0.16604462298804146,2771881.3559322036,13.896471920468295,0.0839551464546277,4.9479946924624404e-05,0.001100928819072893,7.337609484241814e-08,692970.3389830509,0.3125,450.64239990557843,0.34026670056239894,4.07753744390572
2.0,1.0,146898837.0,0.0,0.0,11.0,246878.0,235112.0,293975.0,129125.0,1.0,5.0,8.0,47.0,146898837.0,18.805254730969867,2732.0,527.6421149999858,0.06666666666666667,0.14266521266922333,3125507.170212766,13.71579077011319,0.2727659428720427,0.0020012071300469178,0.0008790062783138303,8.849627523942701e-08,1041835.7234042553,0.5333333333333333,2111.2020199451563,0.2329471440261841,3.8501476017100584
1.0,0.0,112979832.0,0.0,1.0,73.0,26056.0,714310.0,97605.0,47787.0,5.0,6.0,10.0,61.0,112979832.0,18.542719891722573,1775.0,483.43004876582756,0.22727272727272727,0.05395034089408067,1852128.3934426229,13.694200183556706,0.0294165794533276,0.0008639152517061629,0.0004229692959713376,1.4161819481535257e-07,926064.1967213114,0.45454545454545453,342.421724633177,-0.029587695221110266,4.110873864173311
3.0,2.0,132669579.0,0.0,0.0,12.0,51858.0,366670.0,67048.0,37298.0,1.0,7.0,9.0,69.0,132669579.0,18.703372234138484,2311.0,510.0238089615283,0.05555555555555555,0.07133253645708822,1922747.5217391304,13.1670977087445,0.09917857996653119,0.0005053758405308574,0.00028113453197887967,1.2060036671556508e-07,480686.8804347826,0.5,840.9036355656992,0.13106464719480115,4.23410650459726
1.0,1.0,165400562.0,0.0,0.0,22.0,51923.0,748054.0,120250.0,50059.0,2.0,2.0,10.0,32.0,165400562.0,18.92388074441748,3275.0,548.9241359754112,0.13333333333333333,0.051591951659663585,5168767.5625,13.785347183005468,0.053513032741858854,0.0007270229226911574,0.0003026531433430075,7.2551143613701e-08,2584383.78125,0.6666666666666666,488.52968601179947,0.3515731574737977,3.4657359027997265
2.0,0.0,138393914.0,0.0,0.0,32.0,83672.0,1005133.0,197654.0,136999.0,2.0,2.0,5.0,59.0,138393914.0,18.74561463341827,2520.0,517.2561512279837,0.2,0.09624372742734423,2345659.559322034,14.168600383037456,0.05878075870116386,0.00142819864174085,0.0009899206983914046,5.0580258532320585e-08,781886.5197740113,0.5,317.89541566632545,0.17330704647458717,4.07753744390572
2.0,2.0,151522068.0,0.0,0.0,75.0,169949.0,331524.0,137215.0,74090.0,3.0,10.0,5.0,61.0,151522068.0,18.836241842271857,2897.0,533.1203939859347,0.15789473684210525,0.10394526213594957,2483968.3278688523,13.476926693425284,0.23843154750630982,0.0009055776614664472,0.0004889716790296183,9.899548032174772e-08,827989.4426229508,0.2631578947368421,1381.3670518627605,0.2639342553281736,4.110873864173311
3.0,0.0,143118000.0,0.0,0.0,51.0,26299.0,540141.0,117334.0,109242.0,0.0,2.0,5.0,30.0,143118000.0,18.779180029767026,2663.0,523.075950446244,0.0,0.1377549283306663,4770600.0,13.583599937966017,0.033163223487012256,0.0008198409703880714,0.0007633002138095837,4.891068873998596e-08,1192650.0,0.625,617.9300686165934,0.20687244282334305,3.4011973816621555
2.0,2.0,103668739.0,0.0,0.0,74.0,13949.0,473382.0,174367.0,135583.0,4.0,6.0,7.0,56.0,103668739.0,18.456711181275402,1496.0,469.76710809740723,0.2222222222222222,0.17005651701656377,1851227.482142857,13.588963722041084,0.017495691612252628,0.0016819631615274109,0.0013078484537175667,1.2539942127202473e-07,617075.8273809524,0.3888888888888889,531.4398258842684,-0.11559640566828122,4.02535169073515
3.0,0.0,79874006.0,0.0,1.0,24.0,14009.0,96514.0,12459.0,16939.0,4.0,5.0,6.0,53.0,79874006.0,18.195961038659814,907.0,430.6606142801829,0.25,0.12106030502708652,1507056.716981132,11.848840403472545,0.10012006689441261,0.00015598316178106806,0.0002120714967019433,1.3771689205475819e-07,376764.179245283,0.375,1945.0373163697557,-0.3763465482838697,3.970291913552122
2.0,0.0,179905382.0,0.0,0.0,46.0,322419.0,1858624.0,200424.0,240255.0,0.0,4.0,7.0,44.0,179905382.0,19.00794162065209,3657.0,564.5226678254942,0.0,0.09164011606107891,4088758.6818181816,14.779342293178857,0.12297981136832534,0.0011140522744339022,0.001335451987756542,6.114325106103135e-08,1362919.5606060605,0.5833333333333334,223.8362371836129,0.43563403370840703,3.784189633918261
2.0,1.0,175144767.0,0.0,0.0,33.0,65649.0,1067723.0,118707.0,170576.0,1.0,4.0,10.0,54.0,175144767.0,18.981123435622926,3611.0,559.4986659031999,0.0625,0.11989968059741779,3243421.611111111,14.168036105050582,0.04614537878447074,0.0006777650399340793,0.0009739143391021212,7.993387504444324e-08,1081140.537037037,0.625,367.4601778224299,0.40881584867924303,3.9889840465642745
2.0,2.0,166674000.0,0.0,0.0,66.0,50575.0,234668.0,362117.0,66759.0,0.0,5.0,4.0,37.0,166674000.0,18.93155037275012,3400.0,550.3292794084466,0.0,0.09348428835489833,4504702.702702703,13.478806294426898,0.07082143057189268,0.002172606405318166,0.0004005363763994384,5.3997623780567913e-08,1501567.5675675676,0.4,1126.091810202216,0.35924278580643687,3.6109179126442243
2.0,1.0,138308572.0,0.0,0.0,4.0,43028.0,933739.0,264733.0,63053.0,0.0,7.0,7.0,36.0,138308572.0,18.74499778314473,2503.0,517.1498056280166,0.0,0.04833299349816106,3841904.777777778,14.081371777872727,0.03298291983313838,0.0019140751449592004,0.00045588642184809776,1.0122293720722575e-07,1280634.9259259258,0.4666666666666667,331.4687775564431,0.17269019620104586,3.58351893845611
3.0,0.0,81476141.0,1.0,1.0,12.0,14562.0,57508.0,7211.0,8153.0,3.0,4.0,2.0,44.0,81476141.0,18.215820799159168,937.0,433.52101055249125,0.3,0.09324641162006062,1851730.4772727273,11.378650939147759,0.1665465774575399,8.850443714559333e-05,0.00010006610401442552,7.364118934350132e-08,462932.6193181818,0.2,3396.156565140292,-0.35648678778451526,3.784189633918261
1.0,1.0,14416176.0,0.0,0.0,52.0,23586.0,37885.0,21562.0,13746.0,2.0,2.0,4.0,31.0,27524421.0,16.483861536779298,13.0,243.3791436030059,0.2222222222222222,0.14203347799132052,887884.5483870967,11.48019564034731,0.24370737755734656,0.0014956809628295326,0.0009535122212714385,4.161991074332675e-07,232518.96774193548,0.4444444444444444,1432.1921778768344,-2.088446050164386,3.4339872044851463
2.0,2.0,165905198.0,0.0,0.0,15.0,79178.0,994007.0,75933.0,93317.0,1.0,5.0,10.0,37.0,165905198.0,18.92692709282516,3318.0,549.481823805284,0.058823529411764705,0.07510809409901194,4483924.27027027,14.032584526571958,0.0637280310615597,0.00045768909543147647,0.0005624718280376001,9.041307982156726e-08,1494641.4234234234,0.5882352941176471,364.0967952744771,0.3546195058814767,3.6109179126442243
